Tenure Months,Monthly Charges,Total Charges,charge_per_tenure,num_additional_services,tenure_bucket,Contract,Churn Value
1,55.0,55.0,27.5,1,0-12,Month-to-month,1
1,74.7,74.7,37.35,1,0-12,Month-to-month,1
24,80.25,1861.5,3.21,1,13-24,Month-to-month,1
5,96.1,453.4,16.016666666666666,3,0-12,Month-to-month,1
15,69.0,994.8,4.3125,0,13-24,Month-to-month,1
48,45.3,2145.0,0.9244897959183673,3,25-48,Month-to-month,1
8,83.55,680.05,9.283333333333333,2,0-12,Month-to-month,1
1,74.35,74.35,37.175,0,0-12,Month-to-month,1
2,74.4,139.4,24.8,1,0-12,Month-to-month,1
22,43.75,903.6,1.9021739130434783,3,13-24,One year,1
5,28.45,131.05,4.741666666666666,1,0-12,Month-to-month,1
12,99.7,1238.45,7.6692307692307695,4,0-12,Month-to-month,1
20,94.1,1782.4,4.480952380952381,3,13-24,Month-to-month,1
2,94.2,167.5,31.400000000000002,3,0-12,Month-to-month,1
6,80.5,502.85,11.5,1,0-12,Month-to-month,1
5,74.35,334.8,12.391666666666666,0,0-12,Month-to-month,1
40,104.8,4131.95,2.55609756097561,4,25-48,Month-to-month,1
27,75.2,1929.35,2.685714285714286,1,25-48,Month-to-month,1
23,75.6,1758.6,3.15,0,13-24,Month-to-month,1
34,100.05,3480.0,2.8585714285714285,3,25-48,Month-to-month,1
1,85.0,85.0,42.5,1,0-12,Month-to-month,1
10,86.05,834.1,7.822727272727272,1,0-12,Month-to-month,1
13,45.55,597.0,3.2535714285714286,3,13-24,Month-to-month,1
39,86.3,3266.0,2.1574999999999998,2,25-48,Month-to-month,1
32,80.35,2596.15,2.4348484848484846,1,25-48,Month-to-month,1
35,100.25,3527.6,2.7847222222222223,3,25-48,Month-to-month,1
56,100.3,5614.45,1.7596491228070175,3,49-72,One year,1
12,19.0,233.55,1.4615384615384615,0,0-12,Month-to-month,1
1,75.3,75.3,37.65,1,0-12,Month-to-month,1
4,89.2,346.2,17.84,2,0-12,Month-to-month,1
1,85.7,85.7,42.85,1,0-12,Month-to-month,1
12,61.65,713.75,4.742307692307692,3,0-12,Month-to-month,1
65,105.25,6786.4,1.5946969696969697,4,49-72,Month-to-month,1
9,29.95,248.95,2.995,1,0-12,Month-to-month,1
9,65.0,663.05,6.5,4,0-12,Month-to-month,1
7,20.0,137.6,2.5,0,0-12,Month-to-month,1
49,90.05,4547.25,1.801,2,49-72,Month-to-month,1
43,110.75,4687.9,2.5170454545454546,5,25-48,Month-to-month,1
65,105.5,6985.65,1.5984848484848484,4,49-72,Month-to-month,1
56,104.55,5794.65,1.8342105263157895,4,49-72,One year,1
10,85.25,855.3,7.75,1,0-12,Month-to-month,1
43,56.15,2499.3,1.2761363636363636,1,25-48,Month-to-month,1
1,89.55,89.55,44.775,2,0-12,Month-to-month,1
20,94.55,1899.65,4.502380952380952,2,13-24,Month-to-month,1
1,45.7,45.7,22.85,0,0-12,Month-to-month,1
2,89.5,161.5,29.833333333333332,2,0-12,Month-to-month,1
3,69.55,222.3,17.3875,0,0-12,Month-to-month,1
1,74.6,74.6,37.3,1,0-12,Month-to-month,1
8,19.65,164.3,2.183333333333333,0,0-12,Month-to-month,1
2,19.85,35.9,6.616666666666667,0,0-12,One year,1
4,24.25,96.05,4.85,0,0-12,Month-to-month,1
2,69.65,145.15,23.21666666666667,0,0-12,Month-to-month,1
4,45.65,191.05,9.129999999999999,0,0-12,Month-to-month,1
1,75.05,75.05,37.525,0,0-12,Month-to-month,1
52,49.15,2550.9,0.9273584905660377,3,49-72,Month-to-month,1
2,34.7,62.25,11.566666666666668,1,0-12,Month-to-month,1
1,80.0,80.0,40.0,1,0-12,Month-to-month,1
2,49.25,91.1,16.416666666666668,1,0-12,Month-to-month,1
3,75.1,270.7,18.775,0,0-12,Month-to-month,1
3,50.15,168.15,12.5375,1,0-12,Month-to-month,1
25,79.85,2015.35,3.071153846153846,2,25-48,Month-to-month,1
1,19.55,19.55,9.775,0,0-12,Month-to-month,1
4,85.95,381.3,17.19,1,0-12,Month-to-month,1
3,45.35,141.5,11.3375,0,0-12,Month-to-month,1
33,94.5,3105.55,2.7794117647058822,2,25-48,Month-to-month,1
30,91.7,2758.15,2.958064516129032,3,25-48,Month-to-month,1
45,87.25,3941.7,1.8967391304347827,2,25-48,Month-to-month,1
10,98.55,1008.55,8.959090909090909,3,0-12,Month-to-month,1
20,98.55,1842.8,4.692857142857143,3,13-24,Month-to-month,1
15,85.9,1269.55,5.36875,2,13-24,Month-to-month,1
22,89.25,1907.85,3.880434782608696,2,13-24,Month-to-month,1
3,70.3,208.85,17.575,0,0-12,Month-to-month,1
15,93.35,1444.65,5.834375,2,13-24,Month-to-month,1
1,19.9,19.9,9.95,0,0-12,Month-to-month,1
5,88.9,454.15,14.816666666666668,3,0-12,Month-to-month,1
33,95.8,3036.75,2.817647058823529,3,25-48,One year,1
2,82.0,184.65,27.333333333333332,1,0-12,Month-to-month,1
2,45.35,89.5,15.116666666666667,0,0-12,Month-to-month,1
1,52.2,52.2,26.1,1,0-12,Month-to-month,1
46,110.0,4874.8,2.3404255319148937,5,25-48,One year,1
62,96.75,6125.4,1.5357142857142858,3,49-72,One year,1
10,98.5,1058.25,8.954545454545455,3,0-12,Month-to-month,1
6,85.35,489.45,12.192857142857141,2,0-12,Month-to-month,1
40,101.3,4113.1,2.470731707317073,3,25-48,Month-to-month,1
1,69.55,69.55,34.775,0,0-12,Month-to-month,1
58,103.25,6017.65,1.75,4,49-72,One year,1
70,104.0,7250.15,1.4647887323943662,4,49-72,Two year,1
2,86.2,178.7,28.733333333333334,2,0-12,Month-to-month,1
21,111.2,2317.1,5.054545454545455,5,13-24,Month-to-month,1
16,89.45,1430.25,5.261764705882353,3,13-24,Month-to-month,1
7,95.6,644.35,11.95,2,0-12,Month-to-month,1
60,90.95,5453.4,1.4909836065573772,3,49-72,One year,1
50,108.55,5610.7,2.1284313725490196,5,49-72,One year,1
4,78.85,292.8,15.77,1,0-12,Month-to-month,1
1,44.4,44.4,22.2,0,0-12,Month-to-month,1
55,100.0,5509.3,1.7857142857142858,3,49-72,One year,1
12,19.8,229.6,1.5230769230769232,0,0-12,One year,1
1,89.9,89.9,44.95,2,0-12,Month-to-month,1
62,100.15,6413.65,1.5896825396825398,3,49-72,One year,1
1,50.8,50.8,25.4,1,0-12,Month-to-month,1
20,73.65,1463.5,3.5071428571428576,1,13-24,Month-to-month,1
3,95.1,307.4,23.775,3,0-12,Month-to-month,1
22,94.65,2104.55,4.115217391304348,2,13-24,Month-to-month,1
4,80.6,319.15,16.119999999999997,2,0-12,Month-to-month,1
59,85.55,5084.65,1.4258333333333333,1,49-72,One year,1
60,50.8,3027.4,0.8327868852459016,3,49-72,Month-to-month,1
15,105.1,1582.75,6.56875,5,13-24,Month-to-month,1
10,110.1,1043.3,10.009090909090908,6,0-12,Month-to-month,1
6,83.9,497.55,11.985714285714286,2,0-12,Month-to-month,1
63,100.55,6215.35,1.57109375,4,49-72,Month-to-month,1
50,103.85,5017.9,2.0362745098039214,4,49-72,Month-to-month,1
1,24.6,24.6,12.3,0,0-12,Month-to-month,1
12,98.9,1120.95,7.607692307692308,4,0-12,Month-to-month,1
9,98.3,923.5,9.83,3,0-12,Month-to-month,1
17,93.85,1625.65,5.213888888888889,3,13-24,Month-to-month,1
9,100.5,918.6,10.05,3,0-12,Month-to-month,1
10,72.85,688.65,6.622727272727272,1,0-12,Month-to-month,1
1,73.55,73.55,36.775,0,0-12,Month-to-month,1
3,79.4,205.05,19.85,1,0-12,Month-to-month,1
13,81.15,952.3,5.796428571428572,2,13-24,Month-to-month,1
4,84.6,360.1,16.919999999999998,1,0-12,Month-to-month,1
6,79.05,434.5,11.292857142857143,1,0-12,Month-to-month,1
3,74.4,215.8,18.6,0,0-12,Month-to-month,1
35,99.05,3395.8,2.7513888888888887,3,25-48,Month-to-month,1
2,44.95,85.15,14.983333333333334,0,0-12,Month-to-month,1
1,44.7,44.7,22.35,0,0-12,Month-to-month,1
1,45.7,45.7,22.85,0,0-12,Month-to-month,1
8,100.3,832.35,11.144444444444444,4,0-12,Month-to-month,1
7,19.25,112.3,2.40625,0,0-12,Month-to-month,1
2,96.0,174.8,32.0,2,0-12,Month-to-month,1
1,90.55,90.55,45.275,2,0-12,Month-to-month,1
44,30.35,1359.7,0.6744444444444445,1,25-48,Month-to-month,1
71,108.05,7532.15,1.5006944444444443,5,49-72,Two year,1
1,69.9,69.9,34.95,0,0-12,Month-to-month,1
62,103.75,6383.35,1.6468253968253967,4,49-72,One year,1
1,86.6,86.6,43.3,1,0-12,Month-to-month,1
33,80.6,2656.5,2.3705882352941177,1,25-48,Month-to-month,1
35,85.3,2917.5,2.3694444444444445,2,25-48,Month-to-month,1
34,70.0,2416.1,2.0,0,25-48,Month-to-month,1
4,94.3,424.45,18.86,2,0-12,Month-to-month,1
7,95.35,660.9,11.91875,3,0-12,Month-to-month,1
27,75.5,1893.95,2.6964285714285716,0,25-48,Month-to-month,1
18,90.1,1612.75,4.742105263157894,2,13-24,Month-to-month,1
2,68.95,119.75,22.983333333333334,0,0-12,Month-to-month,1
32,99.55,3204.65,3.0166666666666666,3,25-48,Month-to-month,1
18,57.45,990.85,3.0236842105263158,2,13-24,Month-to-month,1
12,53.65,696.35,4.1269230769230765,1,0-12,One year,1
8,100.6,819.4,11.177777777777777,3,0-12,Month-to-month,1
26,83.75,2070.6,3.1018518518518516,1,25-48,Month-to-month,1
3,88.3,273.75,22.075,3,0-12,Month-to-month,1
8,92.1,729.95,10.233333333333333,3,0-12,Month-to-month,1
38,79.45,3013.05,2.037179487179487,2,25-48,Month-to-month,1
14,90.45,1266.1,6.03,2,13-24,Month-to-month,1
32,69.75,2347.9,2.1136363636363638,0,25-48,Month-to-month,1
1,19.65,19.65,9.825,0,0-12,Month-to-month,1
12,43.65,526.95,3.3576923076923078,3,0-12,Month-to-month,1
5,39.5,210.75,6.583333333333333,2,0-12,Month-to-month,1
40,97.1,3706.95,2.368292682926829,2,25-48,Month-to-month,1
5,80.0,412.5,13.333333333333334,1,0-12,Month-to-month,1
10,84.7,832.05,7.7,2,0-12,Month-to-month,1
2,89.55,185.55,29.849999999999998,2,0-12,Month-to-month,1
23,90.6,1943.2,3.775,2,13-24,Month-to-month,1
23,90.05,2169.8,3.752083333333333,2,13-24,Month-to-month,1
49,99.05,4853.75,1.9809999999999999,3,49-72,Month-to-month,1
2,69.75,144.55,23.25,0,0-12,Month-to-month,1
2,49.05,91.1,16.349999999999998,1,0-12,Month-to-month,1
7,98.05,713.0,12.25625,3,0-12,Month-to-month,1
41,114.5,4527.45,2.7261904761904763,6,25-48,Month-to-month,1
2,80.95,171.15,26.983333333333334,1,0-12,Month-to-month,1
13,74.3,940.35,5.307142857142857,1,13-24,Month-to-month,1
11,89.7,1047.7,7.4750000000000005,2,0-12,Month-to-month,1
17,100.45,1622.45,5.580555555555556,3,13-24,Month-to-month,1
25,90.4,2178.6,3.476923076923077,2,25-48,One year,1
3,56.15,168.15,14.0375,2,0-12,Month-to-month,1
4,94.4,387.2,18.880000000000003,4,0-12,Month-to-month,1
37,78.95,2839.65,2.0776315789473685,1,25-48,Month-to-month,1
19,44.85,893.55,2.2425,2,13-24,One year,1
39,105.65,4284.8,2.6412500000000003,4,25-48,Month-to-month,1
7,74.65,544.55,9.33125,1,0-12,Month-to-month,1
14,64.7,941.0,4.3133333333333335,2,13-24,Month-to-month,1
11,104.05,1133.65,8.670833333333333,4,0-12,Month-to-month,1
1,35.55,35.55,17.775,1,0-12,Month-to-month,1
2,95.15,196.9,31.71666666666667,2,0-12,Month-to-month,1
13,96.65,1162.85,6.903571428571429,3,13-24,Month-to-month,1
3,80.4,224.05,20.1,1,0-12,Month-to-month,1
1,31.35,31.35,15.675,1,0-12,Month-to-month,1
12,89.75,1052.4,6.903846153846154,2,0-12,Month-to-month,1
60,94.4,5610.25,1.5475409836065575,3,49-72,One year,1
1,19.85,19.85,9.925,0,0-12,Month-to-month,1
6,109.9,669.45,15.700000000000001,5,0-12,Month-to-month,1
15,101.35,1553.95,6.334375,4,13-24,Month-to-month,1
21,60.05,1236.15,2.7295454545454545,2,13-24,Month-to-month,1
1,60.15,60.15,30.075,1,0-12,Month-to-month,1
7,90.45,593.45,11.30625,2,0-12,Month-to-month,1
53,94.25,4867.95,1.7453703703703705,3,49-72,One year,1
1,74.9,74.9,37.45,0,0-12,Month-to-month,1
1,80.25,80.25,40.125,1,0-12,Month-to-month,1
17,69.0,1149.65,3.8333333333333335,0,13-24,Month-to-month,1
11,66.35,740.8,5.529166666666666,2,0-12,Month-to-month,1
19,86.0,1532.45,4.3,1,13-24,Month-to-month,1
3,80.3,250.05,20.075,1,0-12,Month-to-month,1
24,90.55,2282.55,3.622,2,13-24,Month-to-month,1
2,75.9,143.35,25.3,0,0-12,Month-to-month,1
1,45.85,45.85,22.925,0,0-12,Month-to-month,1
16,49.95,810.2,2.9382352941176473,3,13-24,Month-to-month,1
34,78.3,2564.3,2.237142857142857,1,25-48,Month-to-month,1
3,76.95,228.4,19.2375,0,0-12,Month-to-month,1
16,96.15,1529.2,5.655882352941177,2,13-24,Month-to-month,1
1,45.3,45.3,22.65,0,0-12,Month-to-month,1
15,19.4,289.3,1.2125,0,13-24,Month-to-month,1
11,90.15,987.95,7.5125,2,0-12,Month-to-month,1
1,45.05,45.05,22.525,0,0-12,Month-to-month,1
1,75.8,75.8,37.9,1,0-12,Month-to-month,1
7,79.3,523.15,9.9125,1,0-12,Month-to-month,1
2,30.9,59.05,10.299999999999999,1,0-12,Month-to-month,1
46,95.25,4424.2,2.026595744680851,3,25-48,One year,1
68,89.6,6127.6,1.298550724637681,2,49-72,Month-to-month,1
59,110.15,6448.05,1.8358333333333334,5,49-72,One year,1
7,89.5,676.7,11.1875,2,0-12,Month-to-month,1
8,75.0,632.95,8.333333333333334,1,0-12,Month-to-month,1
6,44.75,270.95,6.392857142857143,0,0-12,Month-to-month,1
11,44.05,483.7,3.670833333333333,0,0-12,Month-to-month,1
15,85.6,1345.55,5.35,1,13-24,Month-to-month,1
70,115.55,8127.6,1.6274647887323943,6,49-72,One year,1
16,86.6,1281.0,5.094117647058823,1,13-24,Month-to-month,1
18,85.2,1553.9,4.484210526315789,1,13-24,Month-to-month,1
34,97.65,3207.55,2.79,2,25-48,Month-to-month,1
47,109.55,5124.55,2.2822916666666666,5,25-48,Month-to-month,1
39,89.55,3474.45,2.23875,3,25-48,One year,1
1,19.45,19.45,9.725,0,0-12,Month-to-month,1
4,20.35,76.35,4.07,0,0-12,Month-to-month,1
1,69.25,69.25,34.625,0,0-12,Month-to-month,1
59,99.5,5961.1,1.6583333333333334,3,49-72,One year,1
1,25.2,25.2,12.6,0,0-12,Month-to-month,1
2,45.0,96.45,15.0,0,0-12,Month-to-month,1
1,20.15,20.15,10.075,0,0-12,Month-to-month,1
66,105.0,7133.25,1.5671641791044777,4,49-72,Month-to-month,1
3,54.7,169.45,13.675,1,0-12,Month-to-month,1
14,87.25,1258.6,5.816666666666666,2,13-24,Month-to-month,1
10,79.95,857.2,7.2681818181818185,1,0-12,Month-to-month,1
18,88.35,1639.3,4.6499999999999995,2,13-24,Month-to-month,1
9,94.75,889.9,9.475,2,0-12,Month-to-month,1
13,95.05,1290.0,6.789285714285714,2,13-24,Month-to-month,1
4,78.45,330.05,15.690000000000001,1,0-12,Month-to-month,1
4,70.2,237.95,14.040000000000001,0,0-12,Month-to-month,1
59,41.05,2452.7,0.6841666666666666,2,49-72,Month-to-month,1
10,85.6,813.85,7.781818181818181,1,0-12,Month-to-month,1
1,79.2,79.2,39.6,1,0-12,Month-to-month,1
5,70.0,347.4,11.666666666666666,3,0-12,One year,1
1,49.95,49.95,24.975,0,0-12,Month-to-month,1
22,69.25,1554.0,3.010869565217391,0,13-24,Month-to-month,1
34,94.25,3217.55,2.692857142857143,3,25-48,Month-to-month,1
41,73.0,3001.2,1.7380952380952381,3,25-48,One year,1
64,100.05,6254.2,1.5392307692307692,3,49-72,One year,1
4,99.8,442.85,19.96,4,0-12,Month-to-month,1
18,35.0,553.0,1.8421052631578947,1,13-24,Month-to-month,1
1,76.0,76.0,38.0,0,0-12,Month-to-month,1
2,93.85,170.85,31.28333333333333,2,0-12,Month-to-month,1
15,84.3,1308.4,5.26875,2,13-24,Month-to-month,1
9,84.4,732.5,8.440000000000001,1,0-12,Month-to-month,1
15,101.1,1504.05,6.31875,3,13-24,Month-to-month,1
1,50.45,50.45,25.225,0,0-12,Month-to-month,1
12,99.95,1132.75,7.688461538461539,3,0-12,Month-to-month,1
2,91.4,193.6,30.46666666666667,2,0-12,Month-to-month,1
5,75.55,349.65,12.591666666666667,1,0-12,Month-to-month,1
4,80.8,332.45,16.16,1,0-12,Month-to-month,1
16,100.0,1534.75,5.882352941176471,3,13-24,Month-to-month,1
1,20.55,20.55,10.275,0,0-12,Month-to-month,1
5,85.3,424.15,14.216666666666667,2,0-12,Month-to-month,1
4,70.4,281.0,14.080000000000002,0,0-12,Month-to-month,1
37,98.8,3475.55,2.6,3,25-48,Month-to-month,1
13,74.4,896.75,5.314285714285715,0,13-24,Month-to-month,1
24,98.75,2407.3,3.95,3,13-24,Month-to-month,1
61,106.0,6547.7,1.7096774193548387,4,49-72,One year,1
41,104.7,4346.4,2.492857142857143,4,25-48,Month-to-month,1
22,96.7,2082.95,4.2043478260869565,2,13-24,Month-to-month,1
2,55.05,102.75,18.349999999999998,2,0-12,Month-to-month,1
19,88.2,1775.8,4.41,2,13-24,Month-to-month,1
8,19.75,145.0,2.1944444444444446,0,0-12,One year,1
15,75.65,1146.65,4.728125,0,13-24,Month-to-month,1
1,74.7,74.7,37.35,0,0-12,Month-to-month,1
17,76.65,1313.55,4.258333333333334,1,13-24,Month-to-month,1
1,25.8,25.8,12.9,0,0-12,Month-to-month,1
2,42.6,72.4,14.200000000000001,3,0-12,Month-to-month,1
29,68.85,1970.5,2.295,4,25-48,Month-to-month,1
2,90.0,190.05,30.0,3,0-12,Month-to-month,1
14,75.35,1025.95,5.0233333333333325,1,13-24,Month-to-month,1
8,100.85,819.55,11.205555555555556,3,0-12,Month-to-month,1
5,69.95,330.15,11.658333333333333,0,0-12,Month-to-month,1
63,107.5,6873.75,1.6796875,4,49-72,One year,1
1,45.85,45.85,22.925,0,0-12,Month-to-month,1
53,106.1,5769.75,1.9648148148148148,5,49-72,One year,1
1,91.7,91.7,45.85,3,0-12,Month-to-month,1
16,95.6,1555.65,5.623529411764705,3,13-24,Month-to-month,1
1,74.95,74.95,37.475,0,0-12,Month-to-month,1
10,95.35,898.35,8.668181818181818,2,0-12,Month-to-month,1
3,45.0,127.1,11.25,0,0-12,Month-to-month,1
66,99.5,6710.5,1.4850746268656716,4,49-72,Month-to-month,1
17,98.6,1704.95,5.477777777777778,4,13-24,One year,1
7,59.5,415.95,7.4375,2,0-12,Month-to-month,1
12,80.45,950.2,6.188461538461539,1,0-12,Month-to-month,1
42,77.95,3384.0,1.8127906976744186,1,25-48,Month-to-month,1
2,74.7,165.4,24.900000000000002,1,0-12,Month-to-month,1
1,88.8,88.8,44.4,2,0-12,Month-to-month,1
30,90.25,2755.35,2.911290322580645,2,25-48,Month-to-month,1
15,64.65,994.55,4.040625,2,13-24,Month-to-month,1
13,89.05,1169.35,6.360714285714286,3,13-24,Month-to-month,1
67,87.4,5918.8,1.285294117647059,2,49-72,One year,1
23,94.75,2293.6,3.9479166666666665,3,13-24,Month-to-month,1
35,86.45,3029.1,2.401388888888889,1,25-48,Month-to-month,1
56,98.25,5508.35,1.7236842105263157,3,49-72,One year,1
9,75.75,655.9,7.575,1,0-12,Month-to-month,1
17,85.35,1463.45,4.741666666666666,2,13-24,Month-to-month,1
48,106.1,5082.8,2.1653061224489796,4,25-48,One year,1
17,45.05,770.6,2.5027777777777778,0,13-24,Month-to-month,1
34,109.8,3587.25,3.137142857142857,5,25-48,Month-to-month,1
42,84.65,3541.35,1.9686046511627908,1,25-48,Month-to-month,1
11,79.5,868.5,6.625,1,0-12,Month-to-month,1
1,85.8,85.8,42.9,1,0-12,Month-to-month,1
1,79.1,79.1,39.55,1,0-12,Month-to-month,1
3,44.3,134.5,11.075,0,0-12,Month-to-month,1
50,105.95,5341.8,2.077450980392157,4,49-72,Month-to-month,1
